,docid,firstpub,date,birthdate,recept,genretags,enumcron,nationality,gender,author,title
0,njp.32101074032044,1700,1700,1700,,bio,<blank>,,unknown,Epictetus.,Epictetus his morals
1,mdp.39015047759454,1700,1700,1700,,poe,,,male,"Brome, Charles,",To the memory of Mr. Dryden
2,mdp.39015084592289,1700,1700,1700,,poe,,,unknown,,Luctus britannici
3,mdp.39015086635185,1700,1700,1700,,poe,,,unknown,,A new session of the poets
4,uc1.32106001529731,1700,1700,1700,,poe,,,unknown,,The Oxford book of Greek verse in translation
5,njp.32101067675031,1701,1701,1701,,bio,<blank>,,male,"Le Clerc, Jean,","The lives of the primitive fathers, viz, Clemens Alexandrinus, Eusebius, bishop of Cæsarea, Gregory Nazianzen, and Prudentius"
6,mdp.39015030832490,1701,1701,1701,,bio,<blank>,,male,"Blomberg, Karl Johann von,",An account of Livonia
7,uc2.ark+=13960=t0js9xc1p,1702,1702,1702,,fic,,,unknown,,"The infernal wanderer; or, The Devil ranging upon earth"
8,mdp.39015014822228,1702,1702,1702,,bio,<blank>,,male,"Guthry, Henry,",Memoirs of Henry Guthry
9,uc1.31822035066141,1702,1702,1702,,bio,<blank>,,unknown,<blank>,The lives of the ancient philosophers
10,mdp.39015065167630,1702,1702,1702,,bio,<blank>,,male,"Welwood, James,",Memoirs of the most material transactions in England
11,mdp.39015026114564,1702,1702,1702,,bio,<blank>,,male,"Bacon, Francis,",Letters of Sr Francis Bacon ... written during the reign of King James the First
12,njp.32101067566891,1702,1702,1702,,poe,,,male,"Quevedo, Francisco de,",The visions of Dom Francisco de Quevedo. Villegas
13,nnc1.0023351888,1702,1702,1702,,poe,,,male,"Sedley, Charles,","The Miscellaneous Works Of the Honourable Sir Charles Sedley, Bart"
14,nyp.33433076036411,1702,1702,1702,,poe,v. 1,,male,"Dryden, John,",Miscellany poems
15,nyp.33433076037500,1702,1702,1702,,poe,,,unknown,,A Collection of poems;
16,mdp.39015030155215,1703,1703,1703,,fic,,,male,"La Calprenède, Gaultier de Coste,",The famous history of Cassandra
17,mdp.39015063516804,1703,1703,1703,,fic,,,male,"Boyle, Robert,","Love and religion demonstrated in the martyrdom of Theodora, and of Didymus"
18,mdp.39015009144422,1703,1703,1703,,fic,,,unknown,"Fernández, Jerónimo.",The honour of chivalry
19,uc1.31822038199097,1703,1703,1703,,fic,,,male,"Tutchin, John,","The second part of the mouse grown a rat, or, The story of the city and country mouse"
20,mdp.39015013141174,1703,1703,1703,,bio,<blank>,,male,"Hoadly, Benjamin,","The reasonableness of conformity to the Church of England, represented to the dissenting ministers"
21,mdp.39015063882669,1703,1703,1703,,bio,<blank>,,male,"Burchett, Josiah,",Memoirs of transactions at sea during the war with France;
22,mdp.39015007003844,1703,1703,1703,,poe,,,mostly_female,"Chudleigh, Mary Lee,",Poems on several occasions
23,mdp.39015063946837,1703,1703,1703,,poe,,,male,"Oldham, John,",The works of Mr. John Oldham
24,njp.32101036892055,1703,1703,1703,,poe,,,male,"Herbert, George,",The temple
25,nyp.33433067286165,1704,1704,1704,,bio,<blank>,,male,"Perrault, Charles,","Characters historical and panegyrical of the greatest men that have appear'd in France, during the last century"
26,nyp.33433061843755,1704,1704,1704,,bio,v. 2,,unknown,<blank>,"Lives, English and forein"
27,nyp.33433061843748,1704,1704,1704,,bio,v. 1,,unknown,<blank>,"Lives, English and forein"
28,mdp.39015078569384,1704,1704,1704,,poe,,,male,"King, William,",Some remarks on the Tale of a tub
29,wu.89004565487,1705,1705,1705,,bio,<blank>,,male,"Strype, John,","The life of the learned Sir John Cheke, kt.;"
30,hvd.32044107229593,1705,1705,1705,,poe,,,unknown,"Waldtschmiedt, Eilhelm Ulrich,",Aloen americanam
31,mdp.39015063941093,1705,1705,1705,,poe,,,unknown,,A New collection of poems relating to state affairs
32,hvd.hxjh5g,1706,1706,1706,,fic,,,unknown,,"The history of George a Green, pindar of the town of Wakefield"
33,mdp.39015062920262,1706,1706,1706,,fic,,,unknown,"Phalaris,",The epistles of Phalaris
34,njp.32101013169964,1706,1706,1706,,bio,<blank>,,unknown,<blank>,"Secret memoirs of Robert Dudley, earl of Leicester, prime minister and favourite of Queen Elizabeth"
35,mdp.39015022468642,1706,1706,1706,,bio,v.1,,unknown,"Rapin, René.",The whole critical works of Monsieur Rapin
36,mdp.39015031287546,1706,1706,1706,,bio,<blank>,,male,"Cavendish, George,","The memoirs of that great favourite, Cardinal Woolsey;"
37,mdp.39015005344604,1706,1706,1706,,bio,v.2,,unknown,"Rapin, René.",The whole critical works of Monsieur Rapin
38,mdp.39015065581707,1706,1706,1706,,poe,,,unknown,"Nivardus,",The crafty courtier;
39,mdp.39015031231825,1706,1706,1706,,poe,,,male,"D'Urfey, Thomas,","Stories, moral and comical. Viz"
40,hvd.hn3ne4,1707,1707,1707,,poe,v.1,,male,"Cowley, Abraham,",The works of Mr. Abraham Cowley
41,njp.32101068312121,1708,1708,1708,,fic,,,unknown,"Aulnoy,",Memoirs of the court of England : in the reign of King Charles II
42,dul1.ark+=13960=t6m04z31z,1708,1708,1708,,fic,v.1,,male,"Alemán, Mateo,","The life of Guzman d'Alfarache, or, The Spanish rogue"
43,dul1.ark+=13960=t53f5kv0q,1708,1708,1708,,fic,v.2,,male,"Alemán, Mateo,","The life of Guzman d'Alfarache, or, The Spanish rogue"
44,nnc1.0112055441,1708,1708,1708,,fic,,,unknown,,Turkish tales
45,njp.32101061958524,1708,1708,1708,,bio,<blank>,,male,"Desmaizeaux, Pierre,",The life of Mr. Bayle
46,uc2.ark+=13960=t65430m4h,1708,1708,1708,,bio,v.2,,male,"Mackenzie, George,",The lives and characters of the most eminent writers of the Scots nation;
47,uc2.ark+=13960=t49p3bc37,1708,1708,1708,,bio,v.3,,male,"Mackenzie, George,",The lives and characters of the most eminent writers of the Scots nation;
48,uc2.ark+=13960=t4nk3n94m,1708,1708,1708,,bio,v.1,,male,"Mackenzie, George,",The lives and characters of the most eminent writers of the Scots nation;
49,mdp.39015051426958,1708,1708,1708,,poe,,,unknown,Aesop.,Truth in fiction
50,nyp.33433074860515,1708,1708,1708,,poe,,,male,"Philips, John,",Cyder
51,dul1.ark+=13960=t3611qj21,1709,1709,1709,,fic,v.1,,unknown,"Manley,","Secret memoirs and manners of several persons of quality, of both sexes. From the New Atalantis, an island in the Mediteranean. Written originally in Italian"
